Genotypes,Block,Row,,Anthesis(before harvest),Wet Biomass(g),Weight to subtract (bag and  tie),Dry biomass (g),Weight to subtract (tray and dry tie)
CSLs,I,I,1,F,146,49.4,145.8,117.2
BeCS,I,I,2,F,128,49.4,135.7,117.2
LDNLp,I,I,3,NF,224,49.4,169.1,117.2
CtrlLha,I,I,4,NF,69,49.4,124.1,117.2
CSLt,I,I,5,SF,334,49.4,192.1,117.2
CtrlLt,I,I,6,NF,111,49.4,131.2,117.2
CtrlLhb,I,I,7,NF,179,49.4,155.8,117.2
CSLha,I,I,8,F,127,49.4,136.7,117.2
CtrlCS,I,I,9,1T(DRIED),37.4,35.4,118.7,117.2
CtrlLp,I,I,10,NF,189,35.4,152.7,117.2
AgCS,I,I,11,F,116,35.4,138.5,117.2
CtrlLeb,I,I,12,NF,59,35.4,125.3,117.2
CtrlLea,I,I,13,SF,86,35.4,131.4,117.2
CSLhb,I,I,14,F,47,35.4,121.1,117.2
CtrlLec,I,I,15,NF,63,35.4,125.5,117.2
CSLe,I,I,16,F,86,35.4,131.2,117.2
CSLex,I,I,17,NF,158,35.4,150.5,117.2
CtrlLs,I,I,18,NF,61,35.4,125.3,117.2
CtrlLt,I,II,1,NF,25,19.4,119,117.2
CSLe,I,II,2,F,39,22.4,1212.8,117.2
BeCS,I,II,3,NF,39,13.4,121.1,117.2
CSLex,I,II,4,F,112,35.4,140.4,117.2
CtrlLea,I,II,5,NF,39,21.4,122.9,117.2
CtrlLec,I,II,6,F,68,34.4,127.3,117.2
CtrlLs,I,II,7,NF,49,32.4,121.9,117.2
CSLs,I,II,8,F,43,32.4,120,117.2
CSLhb,I,II,9,F,125,49.4,136.1,117.2
AgCS,I,II,10,F,105,49.4,137.3,117.2
CSLt,I,II,11,NF,114,49.4,138,117.2
CtrlCS,I,II,12,F,71,31.4,128.1,117.2
CtrlLp,I,II,13,NF,41,31.4,119.7,117.2
CSLha,I,II,14,F,82,31.4,130.4,117.2
LDNLp,I,II,15,NF,139,31.4,151.7,117.2
CtrlLhb,I,II,16,NF,101,31.4,138.9,117.2
CtrlLeb,I,II,17,NF,36,31.4,119.7,117.2
CtrlLha,I,II,18,SF,48,31.4,123.3,117.2
CSLex,II,I,1,F,35,31.4,118.9,117.2
CtrlCS,II,I,2,F,39,31.4,119.6,117.2
AgCS,II,I,3,F,56,31.4,125.7,117.2
CSLs,II,I,4,F,43,31.4,121.3,117.2
CtrlLha,II,I,5,NF,41,31.4,120.2,117.2
CtrlLea,II,I,6,NF,65,31.4,127.2,117.2
CtrlLp,II,I,7,NF,37,31.4,118.3,117.2
CSLe,II,I,8,F,75,31.4,129.4,117.2
